area,floor_range,price,district,market_segment,year,month,year_after_lease_com
205.0,16-20,2118000.0,19,OCR,2023,9,13
100.0,01-05,1500000.0,19,OCR,2023,9,13
100.0,11-15,995000.0,19,OCR,2019,10,9
92.0,11-15,875000.0,19,OCR,2019,10,9
100.0,06-10,955000.0,19,OCR,2020,2,10
92.0,06-10,850000.0,19,OCR,2019,10,9
115.0,06-10,1080000.0,19,OCR,2020,7,10
92.0,16-20,860000.0,19,OCR,2019,9,9
100.0,11-15,970000.0,19,OCR,2020,1,10
100.0,16-20,988000.0,19,OCR,2019,10,9
115.0,01-05,1080000.0,19,OCR,2019,10,9
115.0,06-10,1080000.0,19,OCR,2020,1,10
100.0,06-10,925000.0,19,OCR,2020,7,10
126.0,01-05,1090000.0,19,OCR,2019,9,9
125.0,11-15,1200000.0,19,OCR,2020,2,10
100.0,06-10,930000.0,19,OCR,2020,5,10
100.0,11-15,980000.0,19,OCR,2020,1,10
92.0,11-15,860000.0,19,OCR,2019,10,9
92.0,06-10,868000.0,19,OCR,2020,6,10
100.0,16-20,963000.0,19,OCR,2019,12,9
115.0,06-10,1088000.0,19,OCR,2019,11,9
138.0,01-05,1335000.0,19,OCR,2019,10,9
100.0,01-05,940000.0,19,OCR,2019,9,9
92.0,11-15,888000.0,19,OCR,2020,7,10
92.0,11-15,870000.0,19,OCR,2019,9,9
126.0,01-05,1070000.0,19,OCR,2019,12,9
115.0,01-05,1068000.0,19,OCR,2019,11,9
115.0,01-05,975000.0,19,OCR,2020,7,10
115.0,01-05,1060000.0,19,OCR,2019,11,9
92.0,06-10,862000.0,19,OCR,2020,6,10
100.0,11-15,980000.0,19,OCR,2020,7,10
114.0,01-05,1025000.0,19,OCR,2020,7,10
226.0,16-20,1680000.0,19,OCR,2020,2,10
92.0,11-15,860000.0,19,OCR,2020,3,10
77.0,06-10,786000.0,19,OCR,2019,11,9
138.0,06-10,1260000.0,19,OCR,2020,3,10
100.0,06-10,942000.0,19,OCR,2020,1,10
115.0,01-05,1090000.0,19,OCR,2020,7,10
115.0,01-05,1088000.0,19,OCR,2020,7,10
125.0,06-10,1170000.0,19,OCR,2020,6,10
138.0,01-05,1325000.0,19,OCR,2020,8,10
115.0,06-10,1120000.0,19,OCR,2019,10,9
114.0,06-10,1068000.0,19,OCR,2019,11,9
100.0,01-05,900000.0,19,OCR,2020,8,10
77.0,06-10,790000.0,19,OCR,2020,8,10
100.0,11-15,970000.0,19,OCR,2020,8,10
100.0,01-05,935000.0,19,OCR,2020,8,10
100.0,11-15,970000.0,19,OCR,2020,3,10
92.0,11-15,850000.0,19,OCR,2020,3,10
92.0,11-15,870000.0,19,OCR,2020,7,10
115.0,06-10,1100000.0,19,OCR,2020,3,10
115.0,01-05,1053000.0,19,OCR,2020,7,10
125.0,11-15,1200000.0,19,OCR,2020,6,10
100.0,01-05,935000.0,19,OCR,2020,6,10
92.0,06-10,863000.0,19,OCR,2020,4,10
115.0,01-05,1030000.0,19,OCR,2020,6,10
100.0,06-10,930000.0,19,OCR,2020,4,10
138.0,01-05,1300000.0,19,OCR,2019,12,9
118.0,01-05,1030000.0,19,OCR,2020,9,10
100.0,11-15,980000.0,19,OCR,2020,10,10
118.0,01-05,1050000.0,19,OCR,2020,11,10
100.0,11-15,1018000.0,19,OCR,2020,9,10
100.0,11-15,990000.0,19,OCR,2020,10,10
115.0,16-20,1150000.0,19,OCR,2020,11,10
92.0,01-05,875000.0,19,OCR,2020,10,10
77.0,16-20,757755.0,19,OCR,2020,9,10
205.0,16-20,1300000.0,19,OCR,2020,9,10
126.0,01-05,1088888.0,19,OCR,2020,9,10
163.0,01-05,1440000.0,19,OCR,2020,9,10
114.0,06-10,1080000.0,19,OCR,2020,10,10
125.0,11-15,1200000.0,19,OCR,2020,7,10
114.0,01-05,1005000.0,19,OCR,2020,11,10
145.0,01-05,1240800.0,19,OCR,2020,11,10
100.0,16-20,988000.0,19,OCR,2021,2,11
98.0,01-05,845000.0,19,OCR,2021,2,11
115.0,11-15,1168000.0,19,OCR,2020,12,10
115.0,01-05,1050000.0,19,OCR,2021,1,11
125.0,06-10,1300000.0,19,OCR,2020,11,10
92.0,01-05,870000.0,19,OCR,2021,1,11
77.0,11-15,810000.0,19,OCR,2021,2,11
114.0,01-05,995000.0,19,OCR,2021,2,11
125.0,06-10,1238000.0,19,OCR,2020,12,10
92.0,06-10,876000.0,19,OCR,2021,1,11
92.0,06-10,910000.0,19,OCR,2021,1,11
125.0,11-15,1260000.0,19,OCR,2020,12,10
100.0,01-05,945000.0,19,OCR,2021,1,11
100.0,06-10,980000.0,19,OCR,2020,11,10
100.0,11-15,980000.0,19,OCR,2020,11,10
145.0,01-05,1268000.0,19,OCR,2020,10,10
114.0,01-05,984888.0,19,OCR,2021,1,11
77.0,06-10,790000.0,19,OCR,2021,1,11
114.0,06-10,1060000.0,19,OCR,2020,12,10
77.0,06-10,818000.0,19,OCR,2021,9,11
100.0,01-05,1100000.0,19,OCR,2021,10,11
114.0,01-05,1030000.0,19,OCR,2021,3,11
100.0,01-05,990000.0,19,OCR,2021,4,11
92.0,01-05,952000.0,19,OCR,2021,11,11
100.0,16-20,1030000.0,19,OCR,2021,10,11
100.0,01-05,1050000.0,19,OCR,2021,8,11
142.0,01-05,1356888.0,19,OCR,2021,11,11
115.0,11-15,1210000.0,19,OCR,2021,7,11
92.0,06-10,887000.0,19,OCR,2021,2,11
100.0,06-10,948000.0,19,OCR,2021,3,11
92.0,06-10,890000.0,19,OCR,2021,1,11
92.0,16-20,933000.0,19,OCR,2021,1,11
92.0,01-05,900000.0,19,OCR,2021,10,11
184.0,16-20,1450000.0,19,OCR,2021,10,11
126.0,01-05,1150000.0,19,OCR,2021,8,11
100.0,06-10,998000.0,19,OCR,2021,4,11
92.0,01-05,898000.0,19,OCR,2021,9,11
125.0,01-05,1306000.0,19,OCR,2021,9,11
115.0,11-15,1320000.0,19,OCR,2021,11,11
114.0,11-15,1250000.0,19,OCR,2021,8,11
155.0,01-05,1600000.0,19,OCR,2021,12,11
100.0,16-20,1050000.0,19,OCR,2021,5,11
100.0,06-10,1000000.0,19,OCR,2021,4,11
92.0,16-20,1000000.0,19,OCR,2021,8,11
115.0,11-15,1200000.0,19,OCR,2021,4,11
125.0,11-15,1330000.0,19,OCR,2021,2,11
192.0,16-20,1370000.0,19,OCR,2021,2,11
145.0,01-05,1380000.0,19,OCR,2021,6,11
114.0,11-15,1055000.0,19,OCR,2021,2,11
125.0,01-05,1520000.0,19,OCR,2022,4,12
100.0,11-15,1200000.0,19,OCR,2022,4,12
192.0,16-20,1650000.0,19,OCR,2022,4,12
115.0,06-10,1150000.0,19,OCR,2020,12,10
125.0,01-05,1360000.0,19,OCR,2022,4,12
100.0,16-20,1275000.0,19,OCR,2022,5,12
100.0,06-10,1250000.0,19,OCR,2022,8,12
100.0,01-05,1060000.0,19,OCR,2022,3,12
77.0,01-05,810000.0,19,OCR,2022,3,12
100.0,11-15,1200000.0,19,OCR,2022,2,12
114.0,11-15,1305000.0,19,OCR,2022,3,12
100.0,06-10,1198888.0,19,OCR,2022,7,12
126.0,01-05,1360000.0,19,OCR,2022,4,12
100.0,06-10,1188000.0,19,OCR,2022,6,12
114.0,11-15,1408800.0,19,OCR,2022,6,12
125.0,01-05,1450000.0,19,OCR,2022,7,12
114.0,01-05,1188000.0,19,OCR,2022,2,12
100.0,01-05,1175000.0,19,OCR,2022,9,12
115.0,06-10,1460000.0,19,OCR,2022,8,12
100.0,11-15,1300000.0,19,OCR,2022,8,12
115.0,06-10,1500000.0,19,OCR,2023,2,13
125.0,16-20,1620000.0,19,OCR,2022,9,12
114.0,01-05,1372000.0,19,OCR,2022,9,12
92.0,11-15,1180000.0,19,OCR,2022,9,12
114.0,06-10,1460000.0,19,OCR,2022,12,12
192.0,16-20,1800000.0,19,OCR,2022,12,12
118.0,01-05,1330000.0,19,OCR,2022,11,12
100.0,01-05,1390000.0,19,OCR,2023,2,13
114.0,01-05,1540000.0,19,OCR,2023,6,13
100.0,16-20,1320000.0,19,OCR,2022,12,12
92.0,16-20,1240000.0,19,OCR,2022,12,12
100.0,11-15,1360000.0,19,OCR,2023,5,13
125.0,06-10,1650000.0,19,OCR,2022,10,12
115.0,01-05,1458888.0,19,OCR,2022,11,12
77.0,11-15,968000.0,19,OCR,2022,10,12
100.0,16-20,1380000.0,19,OCR,2022,11,12
115.0,11-15,1580000.0,19,OCR,2023,4,13
125.0,01-05,1770000.0,19,OCR,2023,5,13
92.0,16-20,1310000.0,19,OCR,2023,5,13
92.0,01-05,1233000.0,19,OCR,2023,6,13
92.0,11-15,1280000.0,19,OCR,2023,7,13
114.0,11-15,1580000.0,19,OCR,2023,6,13
138.0,11-15,2000000.0,19,OCR,2023,9,13
125.0,16-20,1810000.0,19,OCR,2023,6,13
100.0,11-15,1450000.0,19,OCR,2023,10,13
115.0,01-05,1500000.0,19,OCR,2023,9,13
92.0,11-15,1350000.0,19,OCR,2023,11,13
192.0,16-20,1828888.0,19,OCR,2023,7,13
100.0,01-05,1353000.0,19,OCR,2023,8,13
184.0,16-20,1898888.0,19,OCR,2023,12,13
92.0,11-15,1290000.0,19,OCR,2023,8,13
92.0,01-05,1250000.0,19,OCR,2023,11,13
77.0,16-20,1180000.0,19,OCR,2023,11,13
114.0,06-10,1615888.0,19,OCR,2023,12,13
125.0,06-10,1900000.0,19,OCR,2023,12,13
100.0,11-15,1418888.0,19,OCR,2023,8,13
100.0,06-10,1365000.0,19,OCR,2023,8,13
111.0,06-10,975000.0,18,OCR,2020,3,20
94.0,01-05,800000.0,18,OCR,2020,4,20
115.0,06-10,1060000.0,18,OCR,2020,3,20
80.0,01-05,780000.0,18,OCR,2020,7,20
138.0,06-10,1230000.0,18,OCR,2019,9,19
126.0,01-05,1060000.0,18,OCR,2020,3,20
115.0,06-10,988000.0,18,OCR,2019,10,19
126.0,01-05,1035000.0,18,OCR,2020,6,20
115.0,06-10,975000.0,18,OCR,2020,7,20
138.0,01-05,1150000.0,18,OCR,2020,8,20
112.0,06-10,995000.0,18,OCR,2020,8,20
138.0,01-05,1150000.0,18,OCR,2020,11,20
116.0,06-10,966000.0,18,OCR,2019,9,19
112.0,06-10,955000.0,18,OCR,2020,10,20
115.0,06-10,1025000.0,18,OCR,2020,10,20
116.0,06-10,992000.0,18,OCR,2020,9,20
115.0,06-10,1050000.0,18,OCR,2020,9,20
138.0,06-10,1186000.0,18,OCR,2020,11,20
94.0,01-05,835000.0,18,OCR,2020,11,20
94.0,01-05,845000.0,18,OCR,2020,11,20
116.0,06-10,990000.0,18,OCR,2021,1,21
94.0,01-05,828000.0,18,OCR,2021,1,21
236.0,06-10,1700000.0,18,OCR,2021,2,21
236.0,06-10,1680000.0,18,OCR,2021,2,21
236.0,06-10,1730000.0,18,OCR,2021,2,21
115.0,01-05,1068000.0,18,OCR,2020,12,20
115.0,06-10,1025000.0,18,OCR,2021,2,21
94.0,01-05,818000.0,18,OCR,2021,6,21
115.0,06-10,1150000.0,18,OCR,2021,2,21
213.0,06-10,1700000.0,18,OCR,2021,3,21
126.0,06-10,1150000.0,18,OCR,2021,10,21
116.0,06-10,1040000.0,18,OCR,2021,4,21
94.0,06-10,820000.0,18,OCR,2021,2,21
138.0,01-05,1160000.0,18,OCR,2021,5,21
138.0,06-10,1230000.0,18,OCR,2021,9,21
126.0,06-10,1130000.0,18,OCR,2021,5,21
94.0,01-05,860000.0,18,OCR,2021,10,21
236.0,06-10,1788888.0,18,OCR,2021,11,21
116.0,06-10,1040000.0,18,OCR,2022,1,22
112.0,06-10,1035000.0,18,OCR,2022,1,22
115.0,01-05,1000000.0,18,OCR,2021,5,21
116.0,06-10,1040000.0,18,OCR,2021,8,21
116.0,01-05,1000000.0,18,OCR,2021,3,21
116.0,01-05,975000.0,18,OCR,2021,9,21
143.0,01-05,1239888.0,18,OCR,2021,8,21
116.0,06-10,1068000.0,18,OCR,2021,8,21
115.0,01-05,1020000.0,18,OCR,2021,5,21
138.0,01-05,1245000.0,18,OCR,2021,8,21
138.0,01-05,1215000.0,18,OCR,2021,10,21
115.0,06-10,1045000.0,18,OCR,2021,11,21
114.0,01-05,1021000.0,18,OCR,2021,11,21
159.0,01-05,1235000.0,18,OCR,2021,8,21
135.0,01-05,1150000.0,18,OCR,2021,7,21
138.0,01-05,1170000.0,18,OCR,2021,9,21
112.0,01-05,1005000.0,18,OCR,2021,10,21
94.0,06-10,906800.0,18,OCR,2021,5,21
190.0,06-10,1380000.0,18,OCR,2021,5,21
136.0,01-05,1230000.0,18,OCR,2021,12,21
110.0,06-10,1100000.0,18,OCR,2022,1,22
112.0,01-05,1000000.0,18,OCR,2022,2,22
116.0,01-05,1270000.0,18,OCR,2022,7,22
116.0,06-10,1300000.0,18,OCR,2022,5,22
80.0,01-05,848000.0,18,OCR,2022,7,22
110.0,01-05,1000000.0,18,OCR,2022,2,22
116.0,01-05,1070000.0,18,OCR,2022,1,22
111.0,06-10,1022888.0,18,OCR,2022,2,22
94.0,01-05,900000.0,18,OCR,2021,11,21
80.0,01-05,838000.0,18,OCR,2022,2,22
115.0,06-10,1080000.0,18,OCR,2022,1,22
181.0,06-10,1800000.0,18,OCR,2022,11,22
80.0,06-10,920000.0,18,OCR,2023,4,23
112.0,06-10,1350000.0,18,OCR,2022,9,22
80.0,01-05,858000.0,18,OCR,2022,9,22
115.0,01-05,1220000.0,18,OCR,2023,1,23
138.0,06-10,1580000.0,18,OCR,2023,5,23
116.0,06-10,1338000.0,18,OCR,2023,5,23
115.0,01-05,1300000.0,18,OCR,2023,4,23
211.0,06-10,2200000.0,18,OCR,2023,7,23
115.0,06-10,1445000.0,18,OCR,2023,10,23
116.0,06-10,1480000.0,18,OCR,2023,12,23
138.0,06-10,1630000.0,18,OCR,2023,10,23
126.0,06-10,1450000.0,18,OCR,2023,9,23
126.0,06-10,1480000.0,18,OCR,2023,10,23
138.0,06-10,1650000.0,18,OCR,2023,12,23
115.0,06-10,1325000.0,18,OCR,2023,9,23
94.0,06-10,1110000.0,18,OCR,2023,9,23
120.0,01-05,955000.0,18,OCR,2019,11,17
123.0,01-05,1000000.0,18,OCR,2020,3,18
123.0,01-05,1010000.0,18,OCR,2020,4,18
136.0,06-10,1160000.0,18,OCR,2021,2,19
225.0,06-10,1755000.0,18,OCR,2021,2,19
150.0,01-05,1268000.0,18,OCR,2020,12,18
136.0,06-10,1200000.0,18,OCR,2021,1,19
123.0,06-10,1030000.0,18,OCR,2020,12,18
110.0,06-10,915000.0,18,OCR,2021,1,19
136.0,06-10,1165000.0,18,OCR,2021,2,19
120.0,06-10,980000.0,18,OCR,2021,2,19
225.0,06-10,1770000.0,18,OCR,2021,3,19
139.0,01-05,1130000.0,18,OCR,2021,10,19
109.0,06-10,918000.0,18,OCR,2021,4,19
120.0,06-10,1020000.0,18,OCR,2021,2,19
136.0,01-05,1180000.0,18,OCR,2021,7,19
139.0,01-05,1070000.0,18,OCR,2021,3,19
139.0,01-05,1128888.0,18,OCR,2021,4,19
120.0,01-05,978888.0,18,OCR,2021,3,19
110.0,06-10,928888.0,18,OCR,2021,5,19
227.0,06-10,1790000.0,18,OCR,2021,7,19
120.0,01-05,1000000.0,18,OCR,2021,7,19
120.0,01-05,1080000.0,18,OCR,2022,1,20
110.0,01-05,895000.0,18,OCR,2021,8,19
110.0,01-05,875000.0,18,OCR,2021,6,19
136.0,01-05,1160000.0,18,OCR,2021,5,19
225.0,06-10,1900000.0,18,OCR,2022,6,20
123.0,06-10,1080000.0,18,OCR,2022,6,20
110.0,01-05,1160000.0,18,OCR,2023,3,21
120.0,01-05,1200000.0,18,OCR,2022,12,20
136.0,01-05,1485000.0,18,OCR,2023,5,21
110.0,01-05,1150000.0,18,OCR,2022,10,20
123.0,06-10,1300000.0,18,OCR,2023,5,21
120.0,06-10,1300000.0,18,OCR,2023,4,21
110.0,06-10,1092000.0,18,OCR,2022,10,20
120.0,06-10,1400000.0,18,OCR,2023,6,21
123.0,01-05,1300000.0,18,OCR,2023,9,21
123.0,06-10,1450000.0,18,OCR,2023,11,21
180.0,16-20,1400000.0,19,OCR,2020,4,19
142.0,11-15,1258000.0,19,OCR,2019,11,18
108.0,06-10,830000.0,19,OCR,2020,3,19
127.0,06-10,1053000.0,19,OCR,2019,10,18
144.0,11-15,1250000.0,19,OCR,2019,10,18
142.0,06-10,1200000.0,19,OCR,2019,10,18
111.0,11-15,890000.0,19,OCR,2020,3,19
110.0,06-10,910000.0,19,OCR,2019,10,18
126.0,06-10,1020000.0,19,OCR,2019,12,18
126.0,06-10,1030000.0,19,OCR,2020,6,19
112.0,06-10,920000.0,19,OCR,2020,7,19
129.0,11-15,1100000.0,19,OCR,2020,3,19
125.0,06-10,965000.0,19,OCR,2020,10,19
180.0,16-20,1538000.0,19,OCR,2020,10,19
111.0,11-15,896000.0,19,OCR,2020,9,19
111.0,06-10,880000.0,19,OCR,2020,11,19
139.0,06-10,1150000.0,19,OCR,2020,9,19
142.0,11-15,1315000.0,19,OCR,2020,9,19
126.0,11-15,1027000.0,19,OCR,2020,11,19
129.0,11-15,1100000.0,19,OCR,2021,1,20
127.0,11-15,1000000.0,19,OCR,2021,1,20
126.0,16-20,1083000.0,19,OCR,2021,2,20
139.0,01-05,1185000.0,19,OCR,2021,1,20
127.0,11-15,1055000.0,19,OCR,2020,12,19
112.0,11-15,930000.0,19,OCR,2020,12,19
111.0,11-15,870000.0,19,OCR,2020,12,19
142.0,06-10,1200000.0,19,OCR,2021,1,20
127.0,01-05,1020000.0,19,OCR,2020,12,19
127.0,01-05,1070000.0,19,OCR,2021,5,20
112.0,11-15,965000.0,19,OCR,2021,6,20
126.0,06-10,1190000.0,19,OCR,2021,10,20
144.0,06-10,1415000.0,19,OCR,2021,10,20
126.0,06-10,1035000.0,19,OCR,2021,3,20
125.0,06-10,1170000.0,19,OCR,2021,7,20
127.0,11-15,1200000.0,19,OCR,2021,10,20
127.0,06-10,1085000.0,19,OCR,2021,4,20
129.0,11-15,1200000.0,19,OCR,2021,6,20
112.0,11-15,958000.0,19,OCR,2021,8,20
112.0,06-10,942000.0,19,OCR,2021,12,20
127.0,01-05,1038000.0,19,OCR,2021,4,20
110.0,01-05,925000.0,19,OCR,2021,3,20
108.0,11-15,920000.0,19,OCR,2021,5,20
112.0,01-05,910000.0,19,OCR,2021,6,20
141.0,11-15,1385000.0,19,OCR,2021,11,20
125.0,11-15,1050000.0,19,OCR,2021,5,20
126.0,01-05,993888.0,19,OCR,2021,7,20
126.0,11-15,1150000.0,19,OCR,2021,5,20
142.0,06-10,1250000.0,19,OCR,2021,6,20
126.0,01-05,1085000.0,19,OCR,2021,7,20
127.0,11-15,1296888.0,19,OCR,2022,1,21
142.0,11-15,1530000.0,19,OCR,2022,5,21
179.0,01-05,1550000.0,19,OCR,2022,7,21
123.0,01-05,1280000.0,19,OCR,2022,6,21
127.0,01-05,1320000.0,19,OCR,2022,6,21
127.0,11-15,1350000.0,19,OCR,2022,8,21
127.0,06-10,1300000.0,19,OCR,2022,4,21
127.0,11-15,1388888.0,19,OCR,2022,4,21
126.0,11-15,1378000.0,19,OCR,2023,3,22
127.0,06-10,1300000.0,19,OCR,2023,1,22
110.0,11-15,1210000.0,19,OCR,2022,11,21
110.0,11-15,1200000.0,19,OCR,2022,10,21
139.0,01-05,1420000.0,19,OCR,2023,1,22
127.0,01-05,1270000.0,19,OCR,2023,4,22
144.0,01-05,1560000.0,19,OCR,2023,5,22
112.0,11-15,1215000.0,19,OCR,2023,2,22
139.0,11-15,1560888.0,19,OCR,2023,5,22
127.0,01-05,1300000.0,19,OCR,2023,11,22
112.0,01-05,1230000.0,19,OCR,2023,9,22
128.0,06-10,1390000.0,19,OCR,2023,11,22
127.0,06-10,1330000.0,19,OCR,2023,9,22
180.0,16-20,1628000.0,19,OCR,2023,10,22
126.0,06-10,1300000.0,19,OCR,2023,9,22
108.0,01-05,1155000.0,19,OCR,2023,8,22
120.0,01-05,1240000.0,18,OCR,2023,12,26
119.0,11-15,928000.0,18,OCR,2020,1,23
119.0,06-10,919000.0,18,OCR,2019,12,22
129.0,11-15,950000.0,18,OCR,2019,9,22
120.0,11-15,950000.0,18,OCR,2020,2,23
151.0,06-10,1125000.0,18,OCR,2019,11,22
120.0,01-05,925000.0,18,OCR,2020,1,23
120.0,06-10,940000.0,18,OCR,2020,8,23
129.0,01-05,940000.0,18,OCR,2020,9,23
146.0,11-15,1170000.0,18,OCR,2020,11,23
120.0,06-10,940000.0,18,OCR,2020,12,23
120.0,11-15,970000.0,18,OCR,2020,12,23
120.0,06-10,958000.0,18,OCR,2021,2,24
119.0,06-10,1100000.0,18,OCR,2021,10,24
119.0,11-15,930000.0,18,OCR,2021,4,24
119.0,06-10,975000.0,18,OCR,2021,6,24
153.0,01-05,1170000.0,18,OCR,2021,8,24
129.0,06-10,980000.0,18,OCR,2021,3,24
151.0,01-05,1158000.0,18,OCR,2021,2,24
231.0,11-15,1750000.0,18,OCR,2021,3,24
129.0,01-05,1050000.0,18,OCR,2021,10,24
119.0,11-15,992000.0,18,OCR,2021,7,24
120.0,01-05,966888.0,18,OCR,2021,7,24
119.0,06-10,980000.0,18,OCR,2021,9,24
129.0,01-05,1000000.0,18,OCR,2021,8,24
120.0,01-05,1012000.0,18,OCR,2021,10,24
