,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice,project,street,marketSegment,x,y
0,159.3,-,1,0320,3,2630000,Terrace,05,Land,Freehold,,LANDED HOUSING DEVELOPMENT,NEO PEE TECK LANE,RCR,20914.1988965525,30589.1070785135
1,186,-,1,0321,3,1880000,Strata Terrace,05,Strata,Freehold,,LANDED HOUSING DEVELOPMENT,NEO PEE TECK LANE,RCR,20914.1988965525,30589.1070785135
2,257,-,1,0522,3,4600000,Terrace,05,Land,Freehold,,LANDED HOUSING DEVELOPMENT,NEO PEE TECK LANE,RCR,20914.1988965525,30589.1070785135
3,524.3,-,1,0220,3,5500000,Semi-detached,05,Land,Freehold,,LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,,
4,308,-,1,0921,3,5200000,Semi-detached,05,Land,Freehold,,LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,,
5,228.4,-,1,0724,3,5188888,Semi-detached,05,Land,Freehold,,LANDED HOUSING DEVELOPMENT,ZEHNDER ROAD,RCR,,
6,194,01-05,1,0220,3,2800000,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
7,194,01-05,1,1020,3,3180000,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
8,226,01-05,1,0920,3,3400000,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
9,223,01-05,1,0221,3,2800000,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
10,194,01-05,1,0521,3,3207910,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
11,195,01-05,1,1121,3,3145820,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
12,194,01-05,1,0421,3,2892370,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
13,226,01-05,1,0721,3,4139770,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
14,240,01-05,1,0521,3,4080000,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
15,199,01-05,1,0921,3,3083590,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
16,194,01-05,1,0421,3,2849590,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
17,200,01-05,1,1221,3,3450000,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
18,194,01-05,1,1021,3,3228150,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
19,195,01-05,1,0921,3,3157910,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
20,194,01-05,1,0921,3,3177660,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
21,194,01-05,1,0521,3,3178150,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
22,196,01-05,1,0921,3,2852170,Condominium,04,Strata,99 yrs lease commencing from 2007,,TURQUOISE,COVE DRIVE,CCR,28382.47067,25008.33592
